GeneID	PathwayID	Description	SYMBOL	GENENAME
2356	hsa01240	Biosynthesis of cofactors	FPGS	folylpolyglutamate synthase
248	hsa01240	Biosynthesis of cofactors	ALPI	alkaline phosphatase, intestinal
249	hsa01240	Biosynthesis of cofactors	ALPL	alkaline phosphatase, biomineralization associated
250	hsa01240	Biosynthesis of cofactors	ALPP	alkaline phosphatase, placental
251	hsa01240	Biosynthesis of cofactors	ALPG	alkaline phosphatase, germ cell
25902	hsa01240	Biosynthesis of cofactors	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like
26289	hsa01240	Biosynthesis of cofactors	AK5	adenylate kinase 5
2643	hsa01240	Biosynthesis of cofactors	GCH1	GTP cyclohydrolase 1
2677	hsa01240	Biosynthesis of cofactors	GGCX	gamma-glutamyl carboxylase
27010	hsa01240	Biosynthesis of cofactors	TPK1	thiamin pyrophosphokinase 1
27235	hsa01240	Biosynthesis of cofactors	COQ2	coenzyme Q2, polyprenyltransferase
2729	hsa01240	Biosynthesis of cofactors	GCLC	glutamate-cysteine ligase catalytic subunit
2730	hsa01240	Biosynthesis of cofactors	GCLM	glutamate-cysteine ligase modifier subunit
27430	hsa01240	Biosynthesis of cofactors	MAT2B	methionine adenosyltransferase 2 non-catalytic beta subunit
2937	hsa01240	Biosynthesis of cofactors	GSS	glutathione synthetase
2990	hsa01240	Biosynthesis of cofactors	GUSB	glucuronidase beta
29922	hsa01240	Biosynthesis of cofactors	NME7	NME/NM23 family member 7
29925	hsa01240	Biosynthesis of cofactors	GMPPB	GDP-mannose pyrophosphorylase B
29926	hsa01240	Biosynthesis of cofactors	GMPPA	GDP-mannose pyrophosphorylase A
29968	hsa01240	Biosynthesis of cofactors	PSAT1	phosphoserine aminotransferase 1
3145	hsa01240	Biosynthesis of cofactors	HMBS	hydroxymethylbilane synthase
3242	hsa01240	Biosynthesis of cofactors	HPD	4-hydroxyphenylpyruvate dioxygenase
326625	hsa01240	Biosynthesis of cofactors	MMAB	metabolism of cobalamin associated B
349565	hsa01240	Biosynthesis of cofactors	NMNAT3	nicotinamide nucleotide adenylyltransferase 3
3620	hsa01240	Biosynthesis of cofactors	IDO1	indoleamine 2,3-dioxygenase 1
387787	hsa01240	Biosynthesis of cofactors	LIPT2	lipoyl(octanoyl) transferase 2
4143	hsa01240	Biosynthesis of cofactors	MAT1A	methionine adenosyltransferase 1A
4144	hsa01240	Biosynthesis of cofactors	MAT2A	methionine adenosyltransferase 2A
4337	hsa01240	Biosynthesis of cofactors	MOCS1	molybdenum cofactor synthesis 1
4338	hsa01240	Biosynthesis of cofactors	MOCS2	molybdenum cofactor synthesis 2
4351	hsa01240	Biosynthesis of cofactors	MPI	mannose phosphate isomerase
441024	hsa01240	Biosynthesis of cofactors	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like
4522	hsa01240	Biosynthesis of cofactors	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
4830	hsa01240	Biosynthesis of cofactors	NME1	NME/NM23 nucleoside diphosphate kinase 1
4831	hsa01240	Biosynthesis of cofactors	NME2	NME/NM23 nucleoside diphosphate kinase 2
4832	hsa01240	Biosynthesis of cofactors	NME3	NME/NM23 nucleoside diphosphate kinase 3
4833	hsa01240	Biosynthesis of cofactors	NME4	NME/NM23 nucleoside diphosphate kinase 4
493911	hsa01240	Biosynthesis of cofactors	PHOSPHO2	phosphatase, orphan 2
50808	hsa01240	Biosynthesis of cofactors	AK3	adenylate kinase 3
51004	hsa01240	Biosynthesis of cofactors	COQ6	coenzyme Q6, monooxygenase
51109	hsa01240	Biosynthesis of cofactors	RDH11	retinol dehydrogenase 11
51117	hsa01240	Biosynthesis of cofactors	COQ4	coenzyme Q4
51601	hsa01240	Biosynthesis of cofactors	LIPT1	lipoyltransferase 1
51727	hsa01240	Biosynthesis of cofactors	CMPK1	cytidine/uridine monophosphate kinase 1
51805	hsa01240	Biosynthesis of cofactors	COQ3	coenzyme Q3, methyltransferase
53354	hsa01240	Biosynthesis of cofactors	PANK1	pantothenate kinase 1
53630	hsa01240	Biosynthesis of cofactors	BCO1	beta-carotene oxygenase 1
5372	hsa01240	Biosynthesis of cofactors	PMM1	phosphomannomutase 1
5373	hsa01240	Biosynthesis of cofactors	PMM2	phosphomannomutase 2
54490	hsa01240	Biosynthesis of cofactors	UGT2B28	UDP glucuronosyltransferase family 2 member B28
54575	hsa01240	Biosynthesis of cofactors	UGT1A10	UDP glucuronosyltransferase family 1 member A10
54576	hsa01240	Biosynthesis of cofactors	UGT1A8	UDP glucuronosyltransferase family 1 member A8
54577	hsa01240	Biosynthesis of cofactors	UGT1A7	UDP glucuronosyltransferase family 1 member A7
54578	hsa01240	Biosynthesis of cofactors	UGT1A6	UDP glucuronosyltransferase family 1 member A6
54579	hsa01240	Biosynthesis of cofactors	UGT1A5	UDP glucuronosyltransferase family 1 member A5
54600	hsa01240	Biosynthesis of cofactors	UGT1A9	UDP glucuronosyltransferase family 1 member A9
54657	hsa01240	Biosynthesis of cofactors	UGT1A4	UDP glucuronosyltransferase family 1 member A4
54658	hsa01240	Biosynthesis of cofactors	UGT1A1	UDP glucuronosyltransferase family 1 member A1
54659	hsa01240	Biosynthesis of cofactors	UGT1A3	UDP glucuronosyltransferase family 1 member A3
5498	hsa01240	Biosynthesis of cofactors	PPOX	protoporphyrinogen oxidase
54995	hsa01240	Biosynthesis of cofactors	OXSM	3-oxoacyl-ACP synthase, mitochondrial
55163	hsa01240	Biosynthesis of cofactors	PNPO	pyridoxamine 5'-phosphate oxidase
55191	hsa01240	Biosynthesis of cofactors	NADSYN1	NAD synthetase 1
55312	hsa01240	Biosynthesis of cofactors	RFK	riboflavin kinase
554235	hsa01240	Biosynthesis of cofactors	ASPDH	aspartate dehydrogenase domain containing
56474	hsa01240	Biosynthesis of cofactors	CTPS2	CTP synthase 2
57026	hsa01240	Biosynthesis of cofactors	PDXP	pyridoxal phosphatase
574537	hsa01240	Biosynthesis of cofactors	UGT2A2	UDP glucuronosyltransferase family 2 member A2
5805	hsa01240	Biosynthesis of cofactors	PTS	6-pyruvoyltetrahydropterin synthase
586	hsa01240	Biosynthesis of cofactors	BCAT1	branched chain amino acid transaminase 1
587	hsa01240	Biosynthesis of cofactors	BCAT2	branched chain amino acid transaminase 2
60490	hsa01240	Biosynthesis of cofactors	PPCDC	phosphopantothenoylcysteine decarboxylase
6470	hsa01240	Biosynthesis of cofactors	SHMT1	serine hydroxymethyltransferase 1
6472	hsa01240	Biosynthesis of cofactors	SHMT2	serine hydroxymethyltransferase 2
64802	hsa01240	Biosynthesis of cofactors	NMNAT1	nicotinamide nucleotide adenylyltransferase 1
65220	hsa01240	Biosynthesis of cofactors	NADK	NAD kinase
654364	hsa01240	Biosynthesis of cofactors	NME1-NME2	NME1-NME2 readthrough
6697	hsa01240	Biosynthesis of cofactors	SPR	sepiapterin reductase
6999	hsa01240	Biosynthesis of cofactors	TDO2	tryptophan 2,3-dioxygenase
7358	hsa01240	Biosynthesis of cofactors	UGDH	UDP-glucose 6-dehydrogenase
7360	hsa01240	Biosynthesis of cofactors	UGP2	UDP-glucose pyrophosphorylase 2
7363	hsa01240	Biosynthesis of cofactors	UGT2B4	UDP glucuronosyltransferase family 2 member B4
7364	hsa01240	Biosynthesis of cofactors	UGT2B7	UDP glucuronosyltransferase family 2 member B7
7365	hsa01240	Biosynthesis of cofactors	UGT2B10	UDP glucuronosyltransferase family 2 member B10
7366	hsa01240	Biosynthesis of cofactors	UGT2B15	UDP glucuronosyltransferase family 2 member B15
7367	hsa01240	Biosynthesis of cofactors	UGT2B17	UDP glucuronosyltransferase family 2 member B17
7372	hsa01240	Biosynthesis of cofactors	UMPS	uridine monophosphate synthetase
7389	hsa01240	Biosynthesis of cofactors	UROD	uroporphyrinogen decarboxylase
7390	hsa01240	Biosynthesis of cofactors	UROS	uroporphyrinogen III synthase
790	hsa01240	Biosynthesis of cofactors	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
79001	hsa01240	Biosynthesis of cofactors	VKORC1	vitamin K epoxide reductase complex subunit 1
79646	hsa01240	Biosynthesis of cofactors	PANK3	pantothenate kinase 3
79717	hsa01240	Biosynthesis of cofactors	PPCS	phosphopantothenoylcysteine synthetase
79799	hsa01240	Biosynthesis of cofactors	UGT2A3	UDP glucuronosyltransferase family 2 member A3
80025	hsa01240	Biosynthesis of cofactors	PANK2	pantothenate kinase 2
80308	hsa01240	Biosynthesis of cofactors	FLAD1	flavin adenine dinucleotide synthetase 1
80347	hsa01240	Biosynthesis of cofactors	COASY	Coenzyme A synthase
84274	hsa01240	Biosynthesis of cofactors	COQ5	coenzyme Q5, methyltransferase
8564	hsa01240	Biosynthesis of cofactors	KMO	kynurenine 3-monooxygenase
8566	hsa01240	Biosynthesis of cofactors	PDXK	pyridoxal kinase
8630	hsa01240	Biosynthesis of cofactors	HSD17B6	hydroxysteroid 17-beta dehydrogenase 6
8836	hsa01240	Biosynthesis of cofactors	GGH	gamma-glutamyl hydrolase
8942	hsa01240	Biosynthesis of cofactors	KYNU	kynureninase
9054	hsa01240	Biosynthesis of cofactors	NFS1	NFS1 cysteine desulfurase
9104	hsa01240	Biosynthesis of cofactors	RGN	regucalcin
9249	hsa01240	Biosynthesis of cofactors	DHRS3	dehydrogenase/reductase 3
93100	hsa01240	Biosynthesis of cofactors	NAPRT	nicotinate phosphoribosyltransferase
10020	hsa01250	Biosynthesis of nucleotide sugars	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
140838	hsa01250	Biosynthesis of nucleotide sugars	NANP	N-acetylneuraminic acid phosphatase
197258	hsa01250	Biosynthesis of nucleotide sugars	FCSK	fucose kinase
23483	hsa01250	Biosynthesis of nucleotide sugars	TGDS	TDP-glucose 4,6-dehydratase
2582	hsa01250	Biosynthesis of nucleotide sugars	GALE	UDP-galactose-4-epimerase
2584	hsa01250	Biosynthesis of nucleotide sugars	GALK1	galactokinase 1
2585	hsa01250	Biosynthesis of nucleotide sugars	GALK2	galactokinase 2
2592	hsa01250	Biosynthesis of nucleotide sugars	GALT	galactose-1-phosphate uridylyltransferase
2645	hsa01250	Biosynthesis of nucleotide sugars	GCK	glucokinase
2673	hsa01250	Biosynthesis of nucleotide sugars	GFPT1	glutamine--fructose-6-phosphate transaminase 1
2762	hsa01250	Biosynthesis of nucleotide sugars	GMDS	GDP-mannose 4,6-dehydratase
2821	hsa01250	Biosynthesis of nucleotide sugars	GPI	glucose-6-phosphate isomerase
29925	hsa01250	Biosynthesis of nucleotide sugars	GMPPB	GDP-mannose pyrophosphorylase B
29926	hsa01250	Biosynthesis of nucleotide sugars	GMPPA	GDP-mannose pyrophosphorylase A
3098	hsa01250	Biosynthesis of nucleotide sugars	HK1	hexokinase 1
3099	hsa01250	Biosynthesis of nucleotide sugars	HK2	hexokinase 2
3101	hsa01250	Biosynthesis of nucleotide sugars	HK3	hexokinase 3
4351	hsa01250	Biosynthesis of nucleotide sugars	MPI	mannose phosphate isomerase
5236	hsa01250	Biosynthesis of nucleotide sugars	PGM1	phosphoglucomutase 1
5238	hsa01250	Biosynthesis of nucleotide sugars	PGM3	phosphoglucomutase 3
5372	hsa01250	Biosynthesis of nucleotide sugars	PMM1	phosphomannomutase 1
5373	hsa01250	Biosynthesis of nucleotide sugars	PMM2	phosphomannomutase 2
54187	hsa01250	Biosynthesis of nucleotide sugars	NANS	N-acetylneuraminate synthase
55276	hsa01250	Biosynthesis of nucleotide sugars	PGM2	phosphoglucomutase 2
55577	hsa01250	Biosynthesis of nucleotide sugars	NAGK	N-acetylglucosamine kinase
55586	hsa01250	Biosynthesis of nucleotide sugars	MIOX	myo-inositol oxygenase
55907	hsa01250	Biosynthesis of nucleotide sugars	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase
64841	hsa01250	Biosynthesis of nucleotide sugars	GNPNAT1	glucosamine-phosphate N-acetyltransferase 1
6675	hsa01250	Biosynthesis of nucleotide sugars	UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1
7264	hsa01250	Biosynthesis of nucleotide sugars	GFUS	GDP-L-fucose synthase
7358	hsa01250	Biosynthesis of nucleotide sugars	UGDH	UDP-glucose 6-dehydrogenase
7360	hsa01250	Biosynthesis of nucleotide sugars	UGP2	UDP-glucose pyrophosphorylase 2
80146	hsa01250	Biosynthesis of nucleotide sugars	UXS1	UDP-glucuronate decarboxylase 1
80201	hsa01250	Biosynthesis of nucleotide sugars	HKDC1	hexokinase domain containing 1
8790	hsa01250	Biosynthesis of nucleotide sugars	FPGT	fucose-1-phosphate guanylyltransferase
91373	hsa01250	Biosynthesis of nucleotide sugars	UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1
9945	hsa01250	Biosynthesis of nucleotide sugars	GFPT2	glutamine-fructose-6-phosphate transaminase 2
9060	hsa01320	Sulfur cycle	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2
9061	hsa01320	Sulfur cycle	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1
10000	hsa01521	EGFR tyrosine kinase inhibitor resistance	AKT3	AKT serine/threonine kinase 3
10018	hsa01521	EGFR tyrosine kinase inhibitor resistance	BCL2L11	BCL2 like 11
110117499	hsa01521	EGFR tyrosine kinase inhibitor resistance	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough
1950	hsa01521	EGFR tyrosine kinase inhibitor resistance	EGF	epidermal growth factor
1956	hsa01521	EGFR tyrosine kinase inhibitor resistance	EGFR	epidermal growth factor receptor
1977	hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4E	eukaryotic translation initiation factor 4E
1978	hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1
2064	hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB2	erb-b2 receptor tyrosine kinase 2
2065	hsa01521	EGFR tyrosine kinase inhibitor resistance	ERBB3	erb-b2 receptor tyrosine kinase 3
207	hsa01521	EGFR tyrosine kinase inhibitor resistance	AKT1	AKT serine/threonine kinase 1
208	hsa01521	EGFR tyrosine kinase inhibitor resistance	AKT2	AKT serine/threonine kinase 2
2247	hsa01521	EGFR tyrosine kinase inhibitor resistance	FGF2	fibroblast growth factor 2
2261	hsa01521	EGFR tyrosine kinase inhibitor resistance	FGFR3	fibroblast growth factor receptor 3
2263	hsa01521	EGFR tyrosine kinase inhibitor resistance	FGFR2	fibroblast growth factor receptor 2
2309	hsa01521	EGFR tyrosine kinase inhibitor resistance	FOXO3	forkhead box O3
2475	hsa01521	EGFR tyrosine kinase inhibitor resistance	MTOR	mechanistic target of rapamycin kinase
253314	hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4E1B	eukaryotic translation initiation factor 4E family member 1B
2549	hsa01521	EGFR tyrosine kinase inhibitor resistance	GAB1	GRB2 associated binding protein 1
25759	hsa01521	EGFR tyrosine kinase inhibitor resistance	SHC2	SHC adaptor protein 2
2621	hsa01521	EGFR tyrosine kinase inhibitor resistance	GAS6	growth arrest specific 6
2885	hsa01521	EGFR tyrosine kinase inhibitor resistance	GRB2	growth factor receptor bound protein 2
2932	hsa01521	EGFR tyrosine kinase inhibitor resistance	GSK3B	glycogen synthase kinase 3 beta
3082	hsa01521	EGFR tyrosine kinase inhibitor resistance	HGF	hepatocyte growth factor
3084	hsa01521	EGFR tyrosine kinase inhibitor resistance	NRG1	neuregulin 1
3265	hsa01521	EGFR tyrosine kinase inhibitor resistance	HRAS	HRas proto-oncogene, GTPase
3479	hsa01521	EGFR tyrosine kinase inhibitor resistance	IGF1	insulin like growth factor 1
3480	hsa01521	EGFR tyrosine kinase inhibitor resistance	IGF1R	insulin like growth factor 1 receptor
3569	hsa01521	EGFR tyrosine kinase inhibitor resistance	IL6	interleukin 6
3570	hsa01521	EGFR tyrosine kinase inhibitor resistance	IL6R	interleukin 6 receptor
369	hsa01521	EGFR tyrosine kinase inhibitor resistance	ARAF	A-Raf proto-oncogene, serine/threonine kinase
3716	hsa01521	EGFR tyrosine kinase inhibitor resistance	JAK1	Janus kinase 1
3717	hsa01521	EGFR tyrosine kinase inhibitor resistance	JAK2	Janus kinase 2
3791	hsa01521	EGFR tyrosine kinase inhibitor resistance	KDR	kinase insert domain receptor
3845	hsa01521	EGFR tyrosine kinase inhibitor resistance	KRAS	KRAS proto-oncogene, GTPase
399694	hsa01521	EGFR tyrosine kinase inhibitor resistance	SHC4	SHC adaptor protein 4
4233	hsa01521	EGFR tyrosine kinase inhibitor resistance	MET	MET proto-oncogene, receptor tyrosine kinase
4763	hsa01521	EGFR tyrosine kinase inhibitor resistance	NF1	neurofibromin 1
4893	hsa01521	EGFR tyrosine kinase inhibitor resistance	NRAS	NRAS proto-oncogene, GTPase
5154	hsa01521	EGFR tyrosine kinase inhibitor resistance	PDGFA	platelet derived growth factor subunit A
5155	hsa01521	EGFR tyrosine kinase inhibitor resistance	PDGFB	platelet derived growth factor subunit B
5156	hsa01521	EGFR tyrosine kinase inhibitor resistance	PDGFRA	platelet derived growth factor receptor alpha
5159	hsa01521	EGFR tyrosine kinase inhibitor resistance	PDGFRB	platelet derived growth factor receptor beta
5290	hsa01521	EGFR tyrosine kinase inhibitor resistance	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
5291	hsa01521	EGFR tyrosine kinase inhibitor resistance	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
5293	hsa01521	EGFR tyrosine kinase inhibitor resistance	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
5295	hsa01521	EGFR tyrosine kinase inhibitor resistance	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
5296	hsa01521	EGFR tyrosine kinase inhibitor resistance	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
5335	hsa01521	EGFR tyrosine kinase inhibitor resistance	PLCG1	phospholipase C gamma 1
53358	hsa01521	EGFR tyrosine kinase inhibitor resistance	SHC3	SHC adaptor protein 3
5336	hsa01521	EGFR tyrosine kinase inhibitor resistance	PLCG2	phospholipase C gamma 2
5578	hsa01521	EGFR tyrosine kinase inhibitor resistance	PRKCA	protein kinase C alpha
5579	hsa01521	EGFR tyrosine kinase inhibitor resistance	PRKCB	protein kinase C beta
558	hsa01521	EGFR tyrosine kinase inhibitor resistance	AXL	AXL receptor tyrosine kinase
5582	hsa01521	EGFR tyrosine kinase inhibitor resistance	PRKCG	protein kinase C gamma
5594	hsa01521	EGFR tyrosine kinase inhibitor resistance	MAPK1	mitogen-activated protein kinase 1
5595	hsa01521	EGFR tyrosine kinase inhibitor resistance	MAPK3	mitogen-activated protein kinase 3
56034	hsa01521	EGFR tyrosine kinase inhibitor resistance	PDGFC	platelet derived growth factor C
5604	hsa01521	EGFR tyrosine kinase inhibitor resistance	MAP2K1	mitogen-activated protein kinase kinase 1
5605	hsa01521	EGFR tyrosine kinase inhibitor resistance	MAP2K2	mitogen-activated protein kinase kinase 2
572	hsa01521	EGFR tyrosine kinase inhibitor resistance	BAD	BCL2 associated agonist of cell death
5728	hsa01521	EGFR tyrosine kinase inhibitor resistance	PTEN	phosphatase and tensin homolog
581	hsa01521	EGFR tyrosine kinase inhibitor resistance	BAX	BCL2 associated X, apoptosis regulator
5894	hsa01521	EGFR tyrosine kinase inhibitor resistance	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
596	hsa01521	EGFR tyrosine kinase inhibitor resistance	BCL2	BCL2 apoptosis regulator
598	hsa01521	EGFR tyrosine kinase inhibitor resistance	BCL2L1	BCL2 like 1
6194	hsa01521	EGFR tyrosine kinase inhibitor resistance	RPS6	ribosomal protein S6
6198	hsa01521	EGFR tyrosine kinase inhibitor resistance	RPS6KB1	ribosomal protein S6 kinase B1
6199	hsa01521	EGFR tyrosine kinase inhibitor resistance	RPS6KB2	ribosomal protein S6 kinase B2
6464	hsa01521	EGFR tyrosine kinase inhibitor resistance	SHC1	SHC adaptor protein 1
6654	hsa01521	EGFR tyrosine kinase inhibitor resistance	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1
6655	hsa01521	EGFR tyrosine kinase inhibitor resistance	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
6714	hsa01521	EGFR tyrosine kinase inhibitor resistance	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
673	hsa01521	EGFR tyrosine kinase inhibitor resistance	BRAF	B-Raf proto-oncogene, serine/threonine kinase
6774	hsa01521	EGFR tyrosine kinase inhibitor resistance	STAT3	signal transducer and activator of transcription 3
7039	hsa01521	EGFR tyrosine kinase inhibitor resistance	TGFA	transforming growth factor alpha
7422	hsa01521	EGFR tyrosine kinase inhibitor resistance	VEGFA	vascular endothelial growth factor A
80310	hsa01521	EGFR tyrosine kinase inhibitor resistance	PDGFD	platelet derived growth factor D
8503	hsa01521	EGFR tyrosine kinase inhibitor resistance	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3
9470	hsa01521	EGFR tyrosine kinase inhibitor resistance	EIF4E2	eukaryotic translation initiation factor 4E family member 2
9542	hsa01521	EGFR tyrosine kinase inhibitor resistance	NRG2	neuregulin 2
10000	hsa01522	Endocrine resistance	AKT3	AKT serine/threonine kinase 3
1019	hsa01522	Endocrine resistance	CDK4	cyclin dependent kinase 4
1026	hsa01522	Endocrine resistance	CDKN1A	cyclin dependent kinase inhibitor 1A
1027	hsa01522	Endocrine resistance	CDKN1B	cyclin dependent kinase inhibitor 1B
1029	hsa01522	Endocrine resistance	CDKN2A	cyclin dependent kinase inhibitor 2A
1031	hsa01522	Endocrine resistance	CDKN2C	cyclin dependent kinase inhibitor 2C
10498	hsa01522	Endocrine resistance	CARM1	coactivator associated arginine methyltransferase 1
10683	hsa01522	Endocrine resistance	DLL3	delta like canonical Notch ligand 3
107	hsa01522	Endocrine resistance	ADCY1	adenylate cyclase 1
107987478	hsa01522	Endocrine resistance	LOC107987478	cytochrome P450 2D6-like
107987479	hsa01522	Endocrine resistance	LOC107987479	cytochrome P450 2D6
108	hsa01522	Endocrine resistance	ADCY2	adenylate cyclase 2
109	hsa01522	Endocrine resistance	ADCY3	adenylate cyclase 3
110117499	hsa01522	Endocrine resistance	P3R3URF-PIK3R3	P3R3URF-PIK3R3 readthrough
111	hsa01522	Endocrine resistance	ADCY5	adenylate cyclase 5
112	hsa01522	Endocrine resistance	ADCY6	adenylate cyclase 6
113	hsa01522	Endocrine resistance	ADCY7	adenylate cyclase 7
114	hsa01522	Endocrine resistance	ADCY8	adenylate cyclase 8
115	hsa01522	Endocrine resistance	ADCY9	adenylate cyclase 9
1432	hsa01522	Endocrine resistance	MAPK14	mitogen-activated protein kinase 14
1564	hsa01522	Endocrine resistance	CYP2D7	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)
1565	hsa01522	Endocrine resistance	CYP2D6	cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene)
182	hsa01522	Endocrine resistance	JAG1	jagged canonical Notch ligand 1
1839	hsa01522	Endocrine resistance	HBEGF	heparin binding EGF like growth factor
1869	hsa01522	Endocrine resistance	E2F1	E2F transcription factor 1
1870	hsa01522	Endocrine resistance	E2F2	E2F transcription factor 2
1871	hsa01522	Endocrine resistance	E2F3	E2F transcription factor 3
1956	hsa01522	Endocrine resistance	EGFR	epidermal growth factor receptor
196883	hsa01522	Endocrine resistance	ADCY4	adenylate cyclase 4
2064	hsa01522	Endocrine resistance	ERBB2	erb-b2 receptor tyrosine kinase 2
207	hsa01522	Endocrine resistance	AKT1	AKT serine/threonine kinase 1
208	hsa01522	Endocrine resistance	AKT2	AKT serine/threonine kinase 2
2099	hsa01522	Endocrine resistance	ESR1	estrogen receptor 1
2100	hsa01522	Endocrine resistance	ESR2	estrogen receptor 2
2353	hsa01522	Endocrine resistance	FOS	Fos proto-oncogene, AP-1 transcription factor subunit
2475	hsa01522	Endocrine resistance	MTOR	mechanistic target of rapamycin kinase
25759	hsa01522	Endocrine resistance	SHC2	SHC adaptor protein 2
2778	hsa01522	Endocrine resistance	GNAS	GNAS complex locus
28514	hsa01522	Endocrine resistance	DLL1	delta like canonical Notch ligand 1
2852	hsa01522	Endocrine resistance	GPER1	G protein-coupled estrogen receptor 1
2885	hsa01522	Endocrine resistance	GRB2	growth factor receptor bound protein 2
3265	hsa01522	Endocrine resistance	HRAS	HRas proto-oncogene, GTPase
3479	hsa01522	Endocrine resistance	IGF1	insulin like growth factor 1
3480	hsa01522	Endocrine resistance	IGF1R	insulin like growth factor 1 receptor
369	hsa01522	Endocrine resistance	ARAF	A-Raf proto-oncogene, serine/threonine kinase
3714	hsa01522	Endocrine resistance	JAG2	jagged canonical Notch ligand 2
3725	hsa01522	Endocrine resistance	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
3845	hsa01522	Endocrine resistance	KRAS	KRAS proto-oncogene, GTPase
399694	hsa01522	Endocrine resistance	SHC4	SHC adaptor protein 4
4193	hsa01522	Endocrine resistance	MDM2	MDM2 proto-oncogene
4313	hsa01522	Endocrine resistance	MMP2	matrix metallopeptidase 2
4318	hsa01522	Endocrine resistance	MMP9	matrix metallopeptidase 9
4851	hsa01522	Endocrine resistance	NOTCH1	notch receptor 1
4853	hsa01522	Endocrine resistance	NOTCH2	notch receptor 2
4854	hsa01522	Endocrine resistance	NOTCH3	notch receptor 3
4855	hsa01522	Endocrine resistance	NOTCH4	notch receptor 4
4893	hsa01522	Endocrine resistance	NRAS	NRAS proto-oncogene, GTPase
5290	hsa01522	Endocrine resistance	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
5291	hsa01522	Endocrine resistance	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta
5293	hsa01522	Endocrine resistance	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
5295	hsa01522	Endocrine resistance	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
5296	hsa01522	Endocrine resistance	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2
53358	hsa01522	Endocrine resistance	SHC3	SHC adaptor protein 3
54567	hsa01522	Endocrine resistance	DLL4	delta like canonical Notch ligand 4
5469	hsa01522	Endocrine resistance	MED1	mediator complex subunit 1
5566	hsa01522	Endocrine resistance	PRKACA	protein kinase cAMP-activated catalytic subunit alpha
5567	hsa01522	Endocrine resistance	PRKACB	protein kinase cAMP-activated catalytic subunit beta
5568	hsa01522	Endocrine resistance	PRKACG	protein kinase cAMP-activated catalytic subunit gamma
5594	hsa01522	Endocrine resistance	MAPK1	mitogen-activated protein kinase 1
5595	hsa01522	Endocrine resistance	MAPK3	mitogen-activated protein kinase 3
5599	hsa01522	Endocrine resistance	MAPK8	mitogen-activated protein kinase 8
5600	hsa01522	Endocrine resistance	MAPK11	mitogen-activated protein kinase 11
5601	hsa01522	Endocrine resistance	MAPK9	mitogen-activated protein kinase 9
5602	hsa01522	Endocrine resistance	MAPK10	mitogen-activated protein kinase 10
5603	hsa01522	Endocrine resistance	MAPK13	mitogen-activated protein kinase 13
5604	hsa01522	Endocrine resistance	MAP2K1	mitogen-activated protein kinase kinase 1
5605	hsa01522	Endocrine resistance	MAP2K2	mitogen-activated protein kinase kinase 2
572	hsa01522	Endocrine resistance	BAD	BCL2 associated agonist of cell death
5747	hsa01522	Endocrine resistance	PTK2	protein tyrosine kinase 2
581	hsa01522	Endocrine resistance	BAX	BCL2 associated X, apoptosis regulator
5894	hsa01522	Endocrine resistance	RAF1	Raf-1 proto-oncogene, serine/threonine kinase
5925	hsa01522	Endocrine resistance	RB1	RB transcriptional corepressor 1
