Human	Mouse	Rat
UBA52	Uba52	Uba52
UBB	Ubb	Ubb
UBC	Ubc	Ubc
UBE2M	Ube2m	Ube2m
UBE2E3	Ube2e3	Ube2e3
UBE2L3	Ube2l3	Ube2l3
UBE2I	Ube2i	Ube2i
UBA3	Uba3	Uba3
UBA1	Uba1	Uba1
UBE2A	Ube2a	Ube2a
UBE2B	Ube2b	Ube2b
UBE2G2	Ube2g2	Ube2g2
UBE2H	Ube2h	Ube2h
UBE3A	Ube3a	Ube3a
USP12	Usp12	Usp12
SUMO1	Sumo1	Sumo1
UBP1	Ubp1	Ubp1
UBR1	Ubr1	Ubr1
UCHL1	Uchl1	Uchl1
USP10	Usp10	Usp10
USP5	Usp5	Usp5
UCN	Ucn	Ucn
UCP1	Ucp1	Ucp1
UCP2	Ucp2	Ucp2
UCP3	Ucp3	Ucp3
UFD1	Ufd1	Ufd1
SLC35A2	Slc35a2	Slc35a2
UGCG	Ugcg	Ugcg
UGDH	Ugdh	Ugdh
UGT1A2P	Ugt1a2	Ugt1a2
UGT8	Ugt8a	Ugt8
DPYSL3	Dpysl3	Dpysl3
ULK1	Ulk1	Ulk1
UMOD	Umod	Umod
UCK1	Uck1	Uck1
UMPS	Umps	Umps
UNC119	Unc119	Unc119
UNC13B	Unc13b	Unc13b
UNC5C	Unc5c	Unc5c
UNCX	Uncx	Uncx
UNG	Ung	Ung
USP4	Usp4	Usp4
NR1H3	Nr1h3	Nr1h3
NR1H2	Nr1h2	Nr1h2
PRAP1	Prap1	Prap1
UPK1B	Upk1b	Upk1b
UPK2	Upk2	Upk2
UPK3A	Upk3a	Upk3a
UPP1	Upp1	Upp1
UQCRQ	Uqcrq	Uqcrq
UQCRC1	Uqcrc1	Uqcrc1
UROD	Urod	Urod
UROS	Uros	Uros
USF1	Usf1	Usf1
USF2	Usf2	Usf2
USH2A	Ush2a	Ush2a
USP9X	Usp9x	Usp9x
UTF1	Utf1	Utf1
SCGB1A1	Scgb1a1	Scgb1a1
UTRN	Utrn	Utrn
KDM6A	Kdm6a	Kdm6a
SLC45A2	Slc45a2	Slc45a2
UXT	Uxt	Uxt
CDH23	Cdh23	Cdh23
VAMP1	Vamp1	Vamp1
VAMP2	Vamp2	Vamp2
VAMP3	Vamp3	Vamp3
VAMP8	Vamp8	Vamp8
VARS1	Vars1	Vars1
VASP	Vasp	Vasp
VAV1	Vav1	Vav1
VAV2	Vav2	Vav2
VAX1	Vax1	Vax1
VBP1	Vbp1	Vbp1
VCAM1	Vcam1	Vcam1
VCL	Vcl	Vcl
VDAC1	Vdac1	Vdac1
VDAC2	Vdac2	Vdac2
VDAC3	Vdac3	Vdac3
VDR	Vdr	Vdr
VEGFA	Vegfa	Vegfa
VEGFB	Vegfb	Vegfb
VEGFC	Vegfc	Vegfc
LIN7B	Lin7b	Lin7b
LIN7C	Lin7c	Lin7c
VEZF1	Vezf1	Vezf1
VHL	Vhl	Vhl
SLC32A1	Slc32a1	Slc32a1
VIL1	Vil1	Vil1
EZR	Ezr	Ezr
VILL	Vill	Vill
VIM	Vim	Vim
VIP	Vip	Vip
VIPR1	Vipr1	Vipr1
VIPR2	Vipr2	Vipr2
VLDLR	Vldlr	Vldlr
NRSN1	Nrsn1	Nrsn1
VNN1	Vnn1	Vnn1
VPREB1	Vpreb1a	Vpreb1a
VPREB3	Vpreb3	Vpreb3
VPS45	Vps45	Vps45
VRK1	Vrk1	Vrk1
TRPV2	Trpv2	Trpv2
VTN	Vtn	Vtn
VWF	Vwf	Vwf
WARS1	Wars1	Wars1
WAS	Was	Was
WBP1	Wbp1	Wbp1
WBP2	Wbp2	Wbp2
FMNL3	Fmnl3	Fmnl3
WBP4	Wbp4	Wbp4
TCEAL9	Tceal9	Tceal9
EIF4H	Eif4h	Eif4h
BAZ1B	Baz1b	Baz1b
WDR1	Wdr1	Wdr1
WEE1	Wee1	Wee1
WFS1	Wfs1	Wfs1
ZMAT3	Zmat3	Zmat3
CCN4	Ccn4	Ccn4
CCN5	Ccn5	Ccn5
WIZ	Wiz	Wiz
WNT1	Wnt1	Wnt1
WNT10A	Wnt10a	Wnt10a
WNT10B	Wnt10b	Wnt10b
WNT11	Wnt11	Wnt11
WNT9B	Wnt9b	Wnt9b
WNT2	Wnt2	Wnt2
WNT2B	Wnt2b	Wnt2b
WNT3	Wnt3	Wnt3
WNT3A	Wnt3a	Wnt3a
WNT4	Wnt4	Wnt4
WNT5A	Wnt5a	Wnt5a
WNT5B	Wnt5b	Wnt5b
WNT6	Wnt6	Wnt6
WNT7A	Wnt7a	Wnt7a
WNT7B	Wnt7b	Wnt7b
WNT8B	Wnt8b	Wnt8b
WRN	Wrn	Wrn
DCTN6	Dctn6	Dctn6
WT1	Wt1	Wt1
XBP1	Xbp1	Xbp1
XDH	Xdh	Xdh
XIRP1	Xirp1	Xirp1
XK	Xk	Xk
ATRX	Atrx	Atrx
XPA	Xpa	Xpa
XPC	Xpc	Xpc
ERCC5	Ercc5	Ercc5
XRCC1	Xrcc1	Xrcc1
XRCC5	Xrcc5	Xrcc5
SLC6A18	Slc6a18	Slc6a18
SLC6A20	Slc6a20b	Slc6a20a
YAP1	Yap1	Yap1
YBX1	Ybx1	Ybx1
YES1	Yes1	Yes1
SIAE	Siae	Siae
MAP3K19	Map3k19	Map3k19
SLC23A3	Slc23a3	Slc23a3
YWHAE	Ywhae	Ywhae
YWHAG	Ywhag	Ywhag
YWHAH	Ywhah	Ywhah
YWHAQ	Ywhaq	Ywhaq
YWHAZ	Ywhaz	Ywhaz
YY1	Yy1	Yy1
PLAGL1	Plagl1	Plagl1
ZAN	Zan	Zan
ZAP70	Zap70	Zap70
ZFP1	Zfp1	Zfp1
ZBTB17	Zbtb17	Zbtb17
RNF103	Rnf103	Rnf103
ZNF35	Zfp105	Zfp105
MKRN3	Mkrn3	Mkrn3
ZNF205	Zfp13	Zfp13
PCGF2	Pcgf2	Pcgf2
ZNF148	Zfp148	Zfp148
ZBTB14	Zbtb14	Zbtb14
SF1	Sf1	Sf1
TRIM26	Trim26	Trim26
RNF112	Rnf112	Rnf112
ZNF185	Zfp185	Zfp185
ZFP2	Zfp2	Zfp2
ZNF207	Zfp207	Zfp207
ZFAND5	Zfand5	Zfand5
ZNF239	Zfp239	Zfp239
ZPR1	Zpr1	Zpr1
ZFP28	Zfp28	Zfp28
ZSCAN2	Zscan2	Zscan2
ZFP36	Zfp36	Zfp36
ZFP37	Zfp37	Zfp37
ZSCAN21	Zscan21	Zscan21
ZFP41	Zfp41	Zfp41
ZFP42	Zfp42	Zfp42
ZNF436	Zfp46	Zfp46
ZFP57	Zfp57	Zfp57
ZFP62	Zfp62	Zfp62
ZFP64	Zfp64	Zfp64
ZBTB7B	Zbtb7b	Zbtb7b
ZNF25	Zfp9	Zfp9
ZFP90	Zfp90	Zfp90
ZKSCAN5	Zkscan5	Zkscan5
ZSCAN12	Zscan12	Zscan12
ZFPM1	Zfpm1	Zfpm1
ZFPM2	Zfpm2	Zfpm2
ZFR	Zfr	Zfr
ZFX	Zfx	Zfx
ZHX1	Zhx1	Zhx1
ZIC1	Zic1	Zic1
ZIC2	Zic2	Zic2
ZIC3	Zic3	Zic3
ZIC4	Zic4	Zic4
IKZF1	Ikzf1	Ikzf1
IKZF2	Ikzf2	Ikzf2
IKZF3	Ikzf3	Ikzf3
IKZF4	Ikzf4	Ikzf4
SLC30A1	Slc30a1	Slc30a1
SLC30A3	Slc30a3	Slc30a3
SLC30A4	Slc30a4	Slc30a4
ZP1	Zp1	Zp1
ZP2	Zp2	Zp2
ZP3	Zp3	Zp3
DNAJC2	Dnajc2	Dnajc2
ZYX	Zyx	Zyx
CORO1B	Coro1b	Coro1b
CORO1C	Coro1c	Coro1c
ADAM23	Adam23	Adam23
ADAMTS5	Adamts5	Adamts5
AGR2	Agr2	Agr2
APLNR	Aplnr	Aplnr
AKT3	Akt3	Akt3
ALOXE3	Aloxe3	Aloxe3
AMFR	Amfr	Amfr
APC2	Apc2	Apc2
ARIH1	Arih1	Arih1
ARIH2	Arih2	Arih2
ASH2L	Ash2l	Ash2l
BACE1	Bace1	Bace1
BANF1	Banf1	Banf1
BPNT1	Bpnt1	Bpnt1
POPDC1	Popdc1	Popdc1
C1QL1	C1ql1	C1ql1
CAPN10	Capn10	Capn10
CA14	Car14	Car14
XCR1	Xcr1	Xcr1
CD52	Cd52	Cd52
CDC6	Cdc6	Cdc6
CDH20	Cdh20	Cdh20
CFDP1	Cfdp1	Cfdp1
CLCA1	Clca1	Clca1
CLEC5A	Clec5a	Clec5a
KLF6	Klf6	Klf6
PAPPA2	Pappa2	Pappa2
DEF6	Def6	Def6
DEF8	Def8	Def8
DIDO1	Dido1	Dido1
DMTF1	Dmtf1	Dmtf1
DLG2	Dlg2	Dlg2
DAND5	Dand5	Dand5
ETS1	Ets1	Ets1
ETS2	Ets2	Ets2
FARSB	Farsb	Farsb
FBLN5	Fbln5	Fbln5
FIZ1	Fiz1	Fiz1
FXR2	Fxr2	Fxr2
FYB1	Fyb1	Fyb1
G3BP2	G3bp2	G3bp2
GADD45G	Gadd45g	Gadd45g
GMCL1	Gmcl1	Gmcl1
GDF15	Gdf15	Gdf15
GGT5	Ggt5	Ggt5
GPC6	Gpc6	Gpc6
GPR34	Gpr34	Gpr34
GREM1	Grem1	Grem1
GREM2	Grem2	Grem2
HAX1	Hax1	Hax1
HCST	Hcst	Hcst
HS2ST1	Hs2st1	Hs2st1
RHOF	Rhof	Rhof
IMPDH1	Impdh1	Impdh1
IMPDH2	Impdh2	Impdh2
INSL5	Insl5	Insl5
INSRR	Insrr	Insrr
SH2B2	Sh2b2	Sh2b2
JTB	Jtb	Jtb
AADAT	Aadat	Aadat
KATNA1	Katna1	Katna1
KEL	Kel	Kel
LAMC3	Lamc3	Lamc3
LY6H	Ly6h	Ly6h
LYNX1	Lynx1	Lynx1
MAB21L2	Mab21l2	Mab21l2
MAP2K5	Map2k5	Map2k5
MAPK7	Mapk7	Mapk7
MTA2	Mta2	Mta2
ESYT1	Esyt1	Esyt1
MGLL	Mgll	Mgll
MID2	Mid2	Mid2
MMP17	Mmp17	Mmp17
DNAJB6	Dnajb6	Dnajb6
NEK3	Nek3	Nek3
NEK4	Nek4	Nek4
NEU2	Neu2	Neu2
NR0B2	Nr0b2	Nr0b2
NR2E3	Nr2e3	Nr2e3
NT5E	Nt5e	Nt5e
TENM1	Tenm1	Tenm1
TENM2	Tenm2	Tenm2
TENM3	Tenm3	Tenm3
TENM4	Tenm4	Tenm4
OSR1	Osr1	Osr1
NLRP5	Nlrp5	Nlrp5
PACSIN1	Pacsin1	Pacsin1
PACSIN2	Pacsin2	Pacsin2
PAPSS1	Papss1	Papss1
PAPSS2	Papss2	Papss2
PEBP1	Pebp1	Pebp1
PCBP1	Pcbp1	Pcbp1
PDE10A	Pde10a	Pde10a
SLC26A4	Slc26a4	Slc26a4
ECI2	Eci2	Eci2
PIN1	Pin1	Pin1
MED24	Med24	Med24
CIB1	Cib1	Cib1
PRKRA	Prkra	Prkra
KLK7	Klk7	Klk7
DAZAP2	Dazap2	Dazap2
PSMC4	Psmc4	Psmc4
PSMD13	Psmd13	Psmd13
TWF2	Twf2	Twf2
PTPN21	Ptpn21	Ptpn21
TIAM2	Tiam2	Tiam2
RAI2	Rai2	Rai2
IK	Ik	Ik
RGS7	Rgs7	Rgs7
GRK1	Grk1	Grk1
RNASEL	Rnasel	Rnasel
ABCE1	Abce1	Abce1
RNF13	Rnf13	Rnf13
RNGTT	Rngtt	Rngtt
MRPS12	Mrps12	Mrps12
SCAMP2	Scamp2	Scamp2
SCN11A	Scn11a	Scn11a
CCL19	Ccl19	Ccl19
SEPTIN3	Septin3	Septin3
SGCB	Sgcb	Sgcb
SGCD	Sgcd	Sgcd
SGCG	Sgcg	Sgcg
SH3BP2	Sh3bp2	Sh3bp2
SH3BP5	Sh3bp5	Sh3bp5
SH3YL1	Sh3yl1	Sh3yl1
SIGIRR	Sigirr	Sigirr
SLCO2A1	Slco2a1	Slco2a1
SLC35A1	Slc35a1	Slc35a1
SMC1A	Smc1a	Smc1a
SPRY1	Spry1	Spry1
SPRY2	Spry2	Spry2
SPRY4	Spry4	Spry4
SRA1	Sra1	Sra1
SUFU	Sufu	Sufu
MPDU1	Mpdu1	Mpdu1
SYNJ2BP	Synj2bp	Synj2bp
TAF7	Taf7	Taf7
TAF10	Taf10	Taf10
NATD1	Natd1	Natd1
TEKT2	Tekt2	Tekt2
TLK2	Tlk2	Tlk2
TLL2	Tll2	Tll2
TLR2	Tlr2	Tlr2
TNFSF13B	Tnfsf13b	Tnfsf13b
TPRA1	Tpra1	Tpra1
TREX2	Trex2	Trex2
RBCK1	Rbck1	Rbck1
UBD	Ubd	Ubd
UBL3	Ubl3	Ubl3
USP18	Usp18	Usp18
UTS2	Uts2	Uts2
VAX2	Vax2	Vax2
BEST1	Best1	Best1
NELFA	Nelfa	Nelfa
WIF1	Wif1	Wif1
XRN1	Xrn1	Xrn1
XRN2	Xrn2	Xrn2
LDB3	Ldb3	Ldb3
ZEB2	Zeb2	Zeb2
ASIP	a	Asip
A2M	NA	A2m
ACLY	Acly	Acly
ALDH1A1	NA	Aldh1a1
ALDOB	Aldob	Aldob
APEH	Apeh	Apeh
ATP1A3	Atp1a3	Atp1a3
C4BPA	NA	C4bpa
C4BPB	NA	C4bpb
CAD	Cad	Cad
CAMK2D	Camk2d	Camk2d
CPA1	Cpa1	Cpa1
CPB1	Cpb1	Cpb1
CELA1	Cela1	Cela1
EPHB1	Ephb1	Ephb1
FGB	Fgb	Fgb
FGG	Fgg	Fgg
FUCA1	Fuca1	Fuca1
GANC	Ganc	Ganc
GCK	Gck	Gck
GLRA2	Glra2	Glra2
GRIK4	Grik4	Grik4
GRM2	Grm2	Grm2
GRM3	Grm3	Grm3
GRM4	Grm4	Grm4
GRM5	Grm5	Grm5
GRM6	Grm6	Grm6
GSTP1	NA	Gstp1
GUSB	Gusb	Gusb
H1-6	H1f6	H1f6
HBB	NA	Hbb
INA	Ina	Ina
IVD	Ivd	Ivd
KCNJ1	Kcnj1	Kcnj1
MPG	Mpg	Mpg
NEFH	Nefh	Nefh
NPPA	Nppa	Nppa
NPY	Npy	Npy
PCCB	Pccb	Pccb
PDE4D	Pde4d	Pde4d
PGM1	Pgm1	Pgm1
SERPINA1	NA	Serpina1
PMCH	Pmch	Pmch
PRPS2	Prps2	Prps2
RAF1	Raf1	Raf1
RARB	Rarb	Rarb
RHO	Rho	Rho
SCN2A	Scn2a	Scn2a
SLC9A2	Slc9a2	Slc9a2
SLC9A3	Slc9a3	Slc9a3
SLC9A4	Slc9a4	Slc9a4
TAT	Tat	Tat
TMBIM6	Tmbim6	Tmbim6
H2AC1	H2ac1	H2ac1
H2BC1	NA	H2bc1
TPM4	Tpm4	Tpm4
UGT1A1	NA	Ugt1a1
PGC	Pgc	Pgc
VSNL1	Vsnl1	Vsnl1
ABCB4	NA	Abcb4
SLC22A1	NA	Slc22a1
DNAJB9	Dnajb9	Dnajb9
PLAAT3	Plaat3	Plaat3
PDLIM4	Pdlim4	Pdlim4
STX1B	Stx1b	Stx1b
KLRK1	Klrk1	Klrk1
SRD5A1	Srd5a1	Srd5a1
PGAM2	Pgam2	Pgam2
CTH	Cth	Cth
HLA-DPA1	NA	RT1-Ha
ACAT1	Acat1	Acat1
GIPR	Gipr	Gipr
AMPD1	Ampd1	Ampd1
CALCRL	Calcrl	Calcrl
CYB5R3	Cyb5r3	Cyb5r3
SDS	Sds	Sds
HK3	Hk3	Hk3
PVR	NA	Pvr
CHRNA3	Chrna3	Chrna3
CHRNA5	Chrna5	Chrna5
CHRNB4	Chrnb4	Chrnb4
AVPR1A	Avpr1a	Avpr1a
KLRD1	NA	Klrd1
ITGA1	Itga1	Itga1
CASP1	NA	Casp1
GUCY1B1	Gucy1b1	Gucy1b1
CCNB1	Ccnb1	Ccnb1
VPS52	Vps52	Vps52
ADD3	Add3	Add3
GRK2	Grk2	Grk2
DSPP	Dspp	Dspp
MAPK10	Mapk10	Mapk10
SMO	Smo	Smo
NUP153	Nup153	Nup153
CHRNA7	NA	Chrna7
RPL39	Rpl39	Rpl39
SCN2B	Scn2b	Scn2b
SLC30A2	Slc30a2	Slc30a2
ADARB1	Adarb1	Adarb1
GRK3	Grk3	Grk3
ARRB1	Arrb1	Arrb1
ARRB2	Arrb2	Arrb2
ATP2A3	Atp2a3	Atp2a3
ALX1	Alx1	Alx1
CD59	NA	Cd59b
CEBPE	Cebpe	Cebpe
DPYSL4	Dpysl4	Dpysl4
CENPI	Cenpi	Cenpi
CMKLR2	Cmklr2	Cmklr2
VPS35	Vps35	Vps35
MYO1E	Myo1e	Myo1e
MYO1D	Myo1d	Myo1d
NDUFA5	Ndufa5	Ndufa5
NRDC	Nrdc	Nrdc
PPIA	Ppia	Ppia
SLC18A2	Slc18a2	Slc18a2
ELOA	Eloa	Eloa
TTPA	Ttpa	Ttpa
MAP3K12	Map3k12	Map3k12
HCRTR1	Hcrtr1	Hcrtr1
RPN1	Rpn1	Rpn1
RASA2	Rasa2	Rasa2
HCRTR2	Hcrtr2	Hcrtr2
ASNS	Asns	Asns
RLN1	NA	Rln1
ACADSB	Acadsb	Acadsb
GYS2	Gys2	Gys2
PLIN1	Plin1	Plin1
GCKR	Gckr	Gckr
DGKG	Dgkg	Dgkg
BMP3	Bmp3	Bmp3
NR3C2	Nr3c2	Nr3c2
RASA1	Rasa1	Rasa1
CLPS	Clps	Clps
CALD1	Cald1	Cald1
SLC18A1	Slc18a1	Slc18a1
PNLIP	Pnlip	Pnlip
SCN4A	Scn4a	Scn4a
ITGB4	Itgb4	Itgb4
NTF4	Ntf5	Ntf4
PYGB	Pygb	Pygb
MAOB	Maob	Maob
OGT	Ogt	Ogt
ING1	Ing1	Ing1
ABCG2	Abcg2	Abcg2
ANXA10	Anxa10	Anxa10
ANGPTL2	Angptl2	Angptl2
AVPR1B	Avpr1b	Avpr1b
AXL	Axl	Axl
BTD	Btd	Btd
ADGRE5	Adgre5	Adgre5
CETN1	Cetn1	Cetn1
CETN2	Cetn2	Cetn2
CIAO1	Ciao1	Ciao1
CLCN6	Clcn6	Clcn6
CLCN7	Clcn7	Clcn7
COP1	Cop1	Cop1
DAPP1	Dapp1	Dapp1
DECR2	Decr2	Decr2
ESRRA	Esrra	Esrra
ESRRB	Esrrb	Esrrb
ESRRG	Esrrg	Esrrg
FGD2	Fgd2	Fgd2
FTO	Fto	Fto
GNPDA1	Gnpda1	Gnpda1
GRK6	Grk6	Grk6
HSF4	Hsf4	Hsf4
MAPKBP1	Mapkbp1	Mapkbp1
LYPLA2	Lypla2	Lypla2
MAP2K1	Map2k1	Map2k1
MAP2K2	Map2k2	Map2k2
MAP2K3	Map2k3	Map2k3
MAP2K4	Map2k4	Map2k4
MAP2K6	Map2k6	Map2k6
MAP2K7	Map2k7	Map2k7
MAP3K1	Map3k1	Map3k1
MAP3K11	Map3k11	Map3k11
MAP3K2	Map3k2	Map3k2
MAP3K3	Map3k3	Map3k3
MAP3K4	Map3k4	Map3k4
MAP3K5	Map3k5	Map3k5
MAP3K7	Map3k7	Map3k7
MAP3K8	Map3k8	Map3k8
MAP4K1	Map4k1	Map4k1
MAP4K2	Map4k2	Map4k2
MAPK1	Mapk1	Mapk1
MAPK13	Mapk13	Mapk13
MAPK14	Mapk14	Mapk14
MAPK3	Mapk3	Mapk3
MAPK8	Mapk8	Mapk8
MAPK9	Mapk9	Mapk9
NBEA	Nbea	Nbea
NR5A1	Nr5a1	Nr5a1
NR5A2	Nr5a2	Nr5a2
NUBP1	Nubp1	Nubp1
NUBP2	Nubp2	Nubp2
CREB3L1	Creb3l1	Creb3l1
ORC4	Orc4	Orc4
ORC5	Orc5	Orc5
PARG	Parg	Parg
GIT2	Git2	Git2
PLOD2	Plod2	Plod2
PLOD3	Plod3	Plod3
PSMA1	Psma1	Psma1
PSMA4	Psma4	Psma4
PSMA5	Psma5	Psma5
PSMA6	Psma6	Psma6
PSMA7	Psma7	Psma7
PSMB2	Psmb2	Psmb2
PSMB3	Psmb3	Psmb3
POLI	Poli	Poli
MOK	Mok	Mok
RBBP9	Rbbp9	Rbbp9
RPL27A	Rpl27a	Rpl27a
SEMA4G	Sema4g	Sema4g
SLC27A1	Slc27a1	Slc27a1
SLC27A2	Slc27a2	Slc27a2
SLC27A5	Slc27a5	Slc27a5
TXNRD2	Txnrd2	Txnrd2
ZNF146	Zfp146	Zfp146
ZNF260	Zfp260	Zfp260
ITGB1BP2	Itgb1bp2	Itgb1bp2
CUL3	Cul3	Cul3
HOMER1	Homer1	Homer1
HOMER2	Homer2	Homer2
HOMER3	Homer3	Homer3
HUNK	Hunk	Hunk
KRTAP15-1	Krtap15-1	NA
MMP23B	Mmp23	Mmp23
NCDN	Ncdn	Ncdn
ROR1	Ror1	Ror1
ROR2	Ror2	Ror2
PLA2G10	Pla2g10	Pla2g10
SLC27A3	Slc27a3	Slc27a3
SLC27A4	Slc27a4	Slc27a4
SLC7A11	Slc7a11	Slc7a11
COPS3	Cops3	Cops3
RCN2	Rcn2	Rcn2
COPS5	Cops5	Cops5
ACOT7	Acot7	Acot7
AKR7A3	NA	Akr7a3
ABCD2	Abcd2	Abcd2
PCLO	Pclo	Pclo
ADH4	Adh4	Adh4
B3GALT1	B3galt1	B3galt1
B3GALT2	B3galt2	B3galt2
B3GALNT1	B3galnt1	B3galnt1
CASP8AP2	Casp8ap2	Casp8ap2
CENPH	Cenph	Cenph
CHST4	Chst4	Chst4
CLN8	Cln8	Cln8
COPS4	Cops4	Cops4
COPS6	Cops6	Cops6
COPS7A	Cops7a	Cops7a
COPS7B	Cops7b	Cops7b
MED14	Med14	Med14
SS18L2	Ss18l2	Ss18l2
DYSF	Dysf	Dysf
EIF2S3	Eif2s3x	Eif2s3
EXO1	Exo1	Exo1
FIGLA	Figla	Figla
GCAT	Gcat	Gcat
GPRIN1	Gprin1	Gprin1
MACROH2A1	Macroh2a1	Macroh2a1
ERN2	Ern2	Ern2
ZNF346	Zfp346	Zfp346
CNTRL	Cntrl	Cntrl
MAP4K4	Map4k4	Map4k4
MECR	Mecr	Mecr
AIFM1	Aifm1	Aifm1
FOXL2	Foxl2	Foxl2
PPP2R5C	Ppp2r5c	Ppp2r5c
PPP2R5E	Ppp2r5e	Ppp2r5e
RACGAP1	Racgap1	Racgap1
MPRIP	Mprip	Mprip
ST6GALNAC5	St6galnac5	St6galnac5
POLR3E	Polr3e	Polr3e
ECSIT	Ecsit	Ecsit
NHERF1	Nherf1	Nherf1
SPAG1	Spag1	Spag1
SERINC3	Serinc3	Serinc3
TINAG	Tinag	Tinag
TPSG1	Tpsg1	Tpsg1
TRPC7	Trpc7	Trpc7
VAT1	Vat1	Vat1
ZW10	Zw10	Zw10
AK3	Ak3	Ak3
RPL8	Rpl8	Rpl8
CUL1	Cul1	Cul1
ISLR	Islr	Islr
PLA2G2E	Pla2g2e	Pla2g2e
PLA2G2F	Pla2g2f	Pla2g2f
SPO11	Spo11	Spo11
EIF4E2	Eif4e2	Eif4e2
CADPS	Cadps	Cadps
BRD7	Brd7	Brd7
MICALL1	Micall1	Micall1
POLK	Polk	Polk
TSPAN32	Tspan32	Tspan32
ERMAP	Ermap	Ermap
SGSH	Sgsh	Sgsh
G3BP1	G3bp1	G3bp1
NIT1	Nit1	Nit1
OMD	Omd	Omd
ETV3	Etv3	Etv3
RPS3	Rps3	Rps3
AOAH	Aoah	Aoah
SEC23B	Sec23b	Sec23b
FKBP9	Fkbp9	Fkbp9
IRF5	Irf5	Irf5
NCOA4	Ncoa4	Ncoa4
SRP9	Srp9	Srp9
SH3D19	Sh3d19	Sh3d19
TCIRG1	Tcirg1	Tcirg1
BCAP31	Bcap31	Bcap31
ANKRD1	Ankrd1	Ankrd1
B9D1	B9d1	B9d1
HBP1	Hbp1	Hbp1
TRAPPC3	Trappc3	Trappc3
EIF2AK4	Eif2ak4	Eif2ak4
RPS26	Rps26	Rps26
TLX3	Tlx3	Tlx3
RPL7A	Rpl7a	Rpl7a
SYN3	Syn3	Syn3
PODXL	Podxl	Podxl
NRK	Nrk	Nrk
RPS11	Rps11	Rps11
DBF4	Dbf4	Dbf4
AZI2	Azi2	Azi2
MIXL1	Mixl1	Mixl1
SLAMF1	Slamf1	Slamf1
SGK2	Sgk2	Sgk2
CARTPT	Cartpt	Cartpt
CHAF1A	Chaf1a	Chaf1a
ATP1A4	Atp1a4	Atp1a4
TP53BP1	Trp53bp1	Tp53bp1
DDX24	Ddx24	Ddx24
PLA2G7	Pla2g7	Pla2g7
CNTN6	Cntn6	Cntn6
PLEK2	Plek2	Plek2
DOK3	Dok3	Dok3
CARS1	Cars1	Cars1
PDK4	Pdk4	Pdk4
ZNF354B	Zfp354b	Znf354b
NUFIP1	Nufip1	Nufip1
PLEKHB1	Plekhb1	Plekhb1
GOLGA5	Golga5	Golga5
CLNK	Clnk	Clnk
TNFRSF12A	Tnfrsf12a	Tnfrsf12a
PHLDA3	Phlda3	Phlda3
PLAAT1	Plaat1	Plaat1
NBN	Nbn	Nbn
PALD1	Pald1	Pald1
INSL6	Insl6	Insl6
GYG1	Gyg1	Gyg1
SYTL4	Sytl4	Sytl4
MSRB1	Msrb1	Msrb1
SRR	Srr	Srr
TXNL4A	Txnl4a	Txnl4a
RPL3	Rpl3	Rpl3
TBL2	Tbl2	Tbl2
DGUOK	Dguok	Dguok
SH2D2A	Sh2d2a	Sh2d2a
CSNK1E	Csnk1e	Csnk1e
PRMT5	Prmt5	Prmt5
TJP3	Tjp3	Tjp3
SLC25A10	Slc25a10	Slc25a10
YME1L1	Yme1l1	Yme1l1
MAGEL2	Magel2	Magel2
NPAS3	Npas3	Npas3
SH2D3C	Sh2d3c	Sh2d3c
PTDSS2	Ptdss2	Ptdss2
DUSP13B	Dusp13b	Dusp13b
MMEL1	Mmel1	Mmel1
PIGN	Pign	Pign
MRPL39	Mrpl39	Mrpl39
MRPL15	Mrpl15	Mrpl15
MRPL17	Mrpl17	Mrpl17
MRPL2	Mrpl2	Mrpl2
IP6K1	Ip6k1	Ip6k1
HSD17B6	Hsd17b6	NA
SKP2	Skp2	Skp2
PDHX	Pdhx	Pdhx
ABCA7	Abca7	Abca7
ABCF3	Abcf3	Abcf3
ABCF2	Abcf2	Abcf2
ABCG5	Abcg5	Abcg5
SLC14A2	Slc14a2	Slc14a2
ABCB11	Abcb11	Abcb11
SERGEF	Sergef	Sergef
ABCC5	Abcc5	Abcc5
MKLN1	Mkln1	Mkln1
NAGLU	Naglu	Naglu
ABCC6	Abcc6	Abcc6
ATP5MG	Atp5mg	Atp5mg
NAGPA	Nagpa	Nagpa
SHROOM3	Shroom3	Shroom3
AMOT	Amot	Amot
NREP	Nrep	Nrep
NELFE	Nelfe	Nelfe
UBL4A	Ubl4a	Ubl4a
C22orf23	1700088E04Rik	C7h22orf23
SNF8	Snf8	Snf8
LSM2	Lsm2	Lsm2
VWA7	Vwa7	Vwa7
COMMD8	Commd8	Commd8
ZDHHC8	Zdhhc8	Zdhhc8
TADA1	Tada1	Tada1
TANGO2	Tango2	Tango2
ESS2	Ess2	Ess2
SPG21	Spg21	Spg21
RRP9	Rrp9	Rrp9
CHERP	Cherp	Cherp
VKORC1	Vkorc1	Vkorc1
EIF3B	Eif3b	Eif3b
RSRP1	Rsrp1	Rsrp1
EFHD2	Efhd2	Efhd2
IMP4	Imp4	Imp4
EXOSC5	Exosc5	Exosc5
FAM3C	Fam3c	Fam3c
PRPF19	Prpf19	Prpf19
WASHC2C	Washc2	Washc2c
MIIP	Miip	Miip
POLR2M	Polr2m	Polr2m
UBFD1	Ubfd1	Ubfd1
ING4	Ing4	Ing4
